,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name
6487,1HPufQe49ZyY07a5wrtlOk,0.766,0.803,0,-5.936,1,0.163,0.208,0,0.19,0.557,97.004,audio_features,1HPufQe49ZyY07a5wrtlOk,spotify:track:1HPufQe49ZyY07a5wrtlOk,https://api.spotify.com/v1/tracks/1HPufQe49ZyY07a5wrtlOk,https://api.spotify.com/v1/audio-analysis/1HPufQe49ZyY07a5wrtlOk,278627,4,Aboard the Train
6488,6Dl7k4S1TNjFO9lJwkZUgA,0.511,0.757,6,-6.87,1,0.362,0.0643,0,0.105,0.737,103.981,audio_features,6Dl7k4S1TNjFO9lJwkZUgA,spotify:track:6Dl7k4S1TNjFO9lJwkZUgA,https://api.spotify.com/v1/tracks/6Dl7k4S1TNjFO9lJwkZUgA,https://api.spotify.com/v1/audio-analysis/6Dl7k4S1TNjFO9lJwkZUgA,224653,4,Talkin' bout Me
6489,3VoAAgaN0Ngv4loTPKkm7y,0.812,0.522,7,-7.227,1,0.0338,0.0695,0,0.0715,0.699,95.114,audio_features,3VoAAgaN0Ngv4loTPKkm7y,spotify:track:3VoAAgaN0Ngv4loTPKkm7y,https://api.spotify.com/v1/tracks/3VoAAgaN0Ngv4loTPKkm7y,https://api.spotify.com/v1/audio-analysis/3VoAAgaN0Ngv4loTPKkm7y,234187,4,Letter
6490,3zMPuhUhOIEw7EdRZ4cm4z,0.808,0.709,4,-8.132,0,0.249,0.31,3.91e-06,0.396,0.785,99.99,audio_features,3zMPuhUhOIEw7EdRZ4cm4z,spotify:track:3zMPuhUhOIEw7EdRZ4cm4z,https://api.spotify.com/v1/tracks/3zMPuhUhOIEw7EdRZ4cm4z,https://api.spotify.com/v1/audio-analysis/3zMPuhUhOIEw7EdRZ4cm4z,264893,4,Country Livin' (feat. Bubba Sparxxx)
6491,7uxEmRM9w9bdZH1qlGvwhC,0.867,0.764,6,-8.351,0,0.147,0.0933,2.34e-06,0.324,0.679,113.051,audio_features,7uxEmRM9w9bdZH1qlGvwhC,spotify:track:7uxEmRM9w9bdZH1qlGvwhC,https://api.spotify.com/v1/tracks/7uxEmRM9w9bdZH1qlGvwhC,https://api.spotify.com/v1/audio-analysis/7uxEmRM9w9bdZH1qlGvwhC,251960,4,Daylight
6492,6u5mpV10H3ViYMWO1y2cFo,0.941,0.535,4,-9.16,0,0.177,0.23,0,0.097,0.484,97.012,audio_features,6u5mpV10H3ViYMWO1y2cFo,spotify:track:6u5mpV10H3ViYMWO1y2cFo,https://api.spotify.com/v1/tracks/6u5mpV10H3ViYMWO1y2cFo,https://api.spotify.com/v1/audio-analysis/6u5mpV10H3ViYMWO1y2cFo,268600,4,Showgirlz
6493,7i2gIUtAlB2ZpqVG1OPsjg,0.632,0.68,11,-6.631,0,0.342,0.253,0,0.0609,0.695,200.226,audio_features,7i2gIUtAlB2ZpqVG1OPsjg,spotify:track:7i2gIUtAlB2ZpqVG1OPsjg,https://api.spotify.com/v1/tracks/7i2gIUtAlB2ZpqVG1OPsjg,https://api.spotify.com/v1/audio-analysis/7i2gIUtAlB2ZpqVG1OPsjg,281640,4,Crooked Swerve (feat. E-40)
6494,5poY55CA8RNt7hpqXg3ReL,0.859,0.687,1,-8.487,1,0.217,0.135,0,0.336,0.816,100.059,audio_features,5poY55CA8RNt7hpqXg3ReL,spotify:track:5poY55CA8RNt7hpqXg3ReL,https://api.spotify.com/v1/tracks/5poY55CA8RNt7hpqXg3ReL,https://api.spotify.com/v1/audio-analysis/5poY55CA8RNt7hpqXg3ReL,251280,4,Cluckaz
6495,5xjAthVO18UznjVfvT375S,0.889,0.808,10,-6.486,0,0.29,0.186,0,0.065,0.814,102.106,audio_features,5xjAthVO18UznjVfvT375S,spotify:track:5xjAthVO18UznjVfvT375S,https://api.spotify.com/v1/tracks/5xjAthVO18UznjVfvT375S,https://api.spotify.com/v1/audio-analysis/5xjAthVO18UznjVfvT375S,223440,4,No More Blingn'
6496,4IC31MatzERkCAmM90JDjT,0.833,0.549,11,-10.033,1,0.216,0.055,0,0.191,0.591,98.004,audio_features,4IC31MatzERkCAmM90JDjT,spotify:track:4IC31MatzERkCAmM90JDjT,https://api.spotify.com/v1/tracks/4IC31MatzERkCAmM90JDjT,https://api.spotify.com/v1/audio-analysis/4IC31MatzERkCAmM90JDjT,246920,4,Cali Girlz
6497,6EBryzIrjUQSDqYJA0VgPV,0.944,0.716,7,-9.547,1,0.0862,0.0147,0.0329,0.25,0.891,130.076,audio_features,6EBryzIrjUQSDqYJA0VgPV,spotify:track:6EBryzIrjUQSDqYJA0VgPV,https://api.spotify.com/v1/tracks/6EBryzIrjUQSDqYJA0VgPV,https://api.spotify.com/v1/audio-analysis/6EBryzIrjUQSDqYJA0VgPV,200427,4,Looney (Remix)
6498,2SyiGuRI5koTlXFs17L2qR,0.928,0.657,11,-7.075,0,0.257,0.142,0,0.0454,0.617,107.136,audio_features,2SyiGuRI5koTlXFs17L2qR,spotify:track:2SyiGuRI5koTlXFs17L2qR,https://api.spotify.com/v1/tracks/2SyiGuRI5koTlXFs17L2qR,https://api.spotify.com/v1/audio-analysis/2SyiGuRI5koTlXFs17L2qR,243653,4,Whitefolkz (feat. Bukshot)
6499,1JkRiibKrj9X5yg7m3Z6sa,0.911,0.796,2,-5.847,1,0.242,0.184,0,0.0584,0.353,109.06,audio_features,1JkRiibKrj9X5yg7m3Z6sa,spotify:track:1JkRiibKrj9X5yg7m3Z6sa,https://api.spotify.com/v1/tracks/1JkRiibKrj9X5yg7m3Z6sa,https://api.spotify.com/v1/audio-analysis/1JkRiibKrj9X5yg7m3Z6sa,241053,4,Smoken or Soaken (feat. Young Droop)
6500,2XY86I2fXfed68zmP1IFRX,0.816,0.807,7,-8.93,1,0.182,0.469,0,0.101,0.955,120.016,audio_features,2XY86I2fXfed68zmP1IFRX,spotify:track:2XY86I2fXfed68zmP1IFRX,https://api.spotify.com/v1/tracks/2XY86I2fXfed68zmP1IFRX,https://api.spotify.com/v1/audio-analysis/2XY86I2fXfed68zmP1IFRX,232533,4,Cranky Hangover
6501,2I3pMNKa3tNP7hj4nATl5K,0.929,0.799,6,-4.951,0,0.212,0.045,1.51e-06,0.0584,0.831,112.982,audio_features,2I3pMNKa3tNP7hj4nATl5K,spotify:track:2I3pMNKa3tNP7hj4nATl5K,https://api.spotify.com/v1/tracks/2I3pMNKa3tNP7hj4nATl5K,https://api.spotify.com/v1/audio-analysis/2I3pMNKa3tNP7hj4nATl5K,260027,4,Daylight (Remix) [feat. Kaoz the Assassin]
