,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name
52,1LLCg18VjCvfbSsjmT6WbT,0.621,0.853,4,-3.424,0,0.362,0.0418,0.00291,0.102,0.342,186.154,audio_features,1LLCg18VjCvfbSsjmT6WbT,spotify:track:1LLCg18VjCvfbSsjmT6WbT,https://api.spotify.com/v1/tracks/1LLCg18VjCvfbSsjmT6WbT,https://api.spotify.com/v1/audio-analysis/1LLCg18VjCvfbSsjmT6WbT,194933,4,Ain’t Hearin’ Nothin’
53,5YYdyoFDpqzEp5OpXAQk4s,0.773,0.622,2,-4.528,1,0.0495,0.105,0,0.0802,0.114,90.037,audio_features,5YYdyoFDpqzEp5OpXAQk4s,spotify:track:5YYdyoFDpqzEp5OpXAQk4s,https://api.spotify.com/v1/tracks/5YYdyoFDpqzEp5OpXAQk4s,https://api.spotify.com/v1/audio-analysis/5YYdyoFDpqzEp5OpXAQk4s,260947,4,Cards I Was Dealt
54,1leq1oyMAj2tjus3SUeI9b,0.406,0.853,2,-4.781,1,0.24,0.00538,0.00136,0.189,0.177,90.067,audio_features,1leq1oyMAj2tjus3SUeI9b,spotify:track:1leq1oyMAj2tjus3SUeI9b,https://api.spotify.com/v1/tracks/1leq1oyMAj2tjus3SUeI9b,https://api.spotify.com/v1/audio-analysis/1leq1oyMAj2tjus3SUeI9b,206173,4,Renegade Rides Again
55,72C6Oj9SfXh4bULwJ5yWyt,0.82,0.59,1,-6.663,1,0.207,0.0876,6.64e-06,0.134,0.368,95.007,audio_features,72C6Oj9SfXh4bULwJ5yWyt,spotify:track:72C6Oj9SfXh4bULwJ5yWyt,https://api.spotify.com/v1/tracks/72C6Oj9SfXh4bULwJ5yWyt,https://api.spotify.com/v1/audio-analysis/72C6Oj9SfXh4bULwJ5yWyt,253173,4,Hell On Heels
56,5gEIHjrbasvEFUqTLiZ7KD,0.684,0.836,9,-3.249,0,0.154,0.187,3.98e-06,0.289,0.582,143.982,audio_features,5gEIHjrbasvEFUqTLiZ7KD,spotify:track:5gEIHjrbasvEFUqTLiZ7KD,https://api.spotify.com/v1/tracks/5gEIHjrbasvEFUqTLiZ7KD,https://api.spotify.com/v1/audio-analysis/5gEIHjrbasvEFUqTLiZ7KD,246467,4,Baptized In Bourbon
57,0K2S1aZ87D4U4N3UUBMGkP,0.815,0.782,9,-4.119,1,0.122,0.504,0,0.312,0.616,107.998,audio_features,0K2S1aZ87D4U4N3UUBMGkP,spotify:track:0K2S1aZ87D4U4N3UUBMGkP,https://api.spotify.com/v1/tracks/0K2S1aZ87D4U4N3UUBMGkP,https://api.spotify.com/v1/audio-analysis/0K2S1aZ87D4U4N3UUBMGkP,223867,4,Dad’s Pontoon
58,7IElKvoaKfB0dkN48CTx7p,0.738,0.904,2,-4.211,1,0.0536,0.169,0,0.0602,0.968,125.017,audio_features,7IElKvoaKfB0dkN48CTx7p,spotify:track:7IElKvoaKfB0dkN48CTx7p,https://api.spotify.com/v1/tracks/7IElKvoaKfB0dkN48CTx7p,https://api.spotify.com/v1/audio-analysis/7IElKvoaKfB0dkN48CTx7p,199520,4,Shook It Up
59,6aeuHtH6TOzzpKZP4PxFGV,0.572,0.877,11,-4.021,0,0.0665,0.0449,0,0.307,0.737,156.057,audio_features,6aeuHtH6TOzzpKZP4PxFGV,spotify:track:6aeuHtH6TOzzpKZP4PxFGV,https://api.spotify.com/v1/tracks/6aeuHtH6TOzzpKZP4PxFGV,https://api.spotify.com/v1/audio-analysis/6aeuHtH6TOzzpKZP4PxFGV,229787,4,I Don’t Wanna Go Home
60,2Jd5imRkorFZKVqUXQPp0T,0.615,0.897,5,-4.037,1,0.252,0.256,0,0.189,0.782,158.109,audio_features,2Jd5imRkorFZKVqUXQPp0T,spotify:track:2Jd5imRkorFZKVqUXQPp0T,https://api.spotify.com/v1/tracks/2Jd5imRkorFZKVqUXQPp0T,https://api.spotify.com/v1/audio-analysis/2Jd5imRkorFZKVqUXQPp0T,197640,4,Take This Job
61,5qMHXpeCiQYqzDSoawHVDI,0.703,0.844,2,-3.688,1,0.047,0.387,0,0.101,0.288,95.007,audio_features,5qMHXpeCiQYqzDSoawHVDI,spotify:track:5qMHXpeCiQYqzDSoawHVDI,https://api.spotify.com/v1/tracks/5qMHXpeCiQYqzDSoawHVDI,https://api.spotify.com/v1/audio-analysis/5qMHXpeCiQYqzDSoawHVDI,155960,4,Wild Ones
